type,age_firstborn,days_milking,lact_count,insemination,age,imported,yield
2,25,89,2,1,42,1,28.9
2,22,334,2,6,48,1,18.4
2,22,296,2,2,47,1,23.2
2,22,54,2,0,37,1,37.5
2,23,388,2,2,49,1,24.3
2,23,128,2,2,41,1,33.4
2,24,69,2,0,39,1,32
2,23,328,2,6,48,1,10
2,24,79,2,0,39,1,36.2
2,21,67,2,0,40,1,34.3
2,39,119,2,2,58,1,39.7
2,25,283,2,1,48,0,24.5
2,29,126,2,2,48,0,27.4
2,27,93,2,1,47,0,32.7
2,22,330,2,2,47,0,26.2
2,24,317,2,5,47,0,20.4
2,24,321,2,5,47,0,24.6
2,24,137,2,2,47,0,34.5
2,21,370,2,3,47,0,31.6
2,23,327,2,2,46,0,20.8
2,26,95,2,0,46,0,32.8
2,27,233,2,1,46,0,26.1
2,27,218,2,1,46,0,24.4
2,23,147,2,3,45,0,28.5
2,26,216,2,1,45,0,30.2
2,27,158,2,3,45,0,30.1
2,26,221,2,5,44,0,25
2,26,90,2,1,44,0,27.7
2,25,231,2,5,44,0,31.6
2,24,180,2,4,43,0,32
2,23,19,2,0,43,0,38.4
2,23,62,2,0,40,0,36.6
2,24,184,2,3,42,0,28.4
2,23,227,2,1,42,0,20.3
2,23,29,2,0,42,0,42.5
2,23,193,2,4,42,0,29.7
2,23,100,2,1,38,0,38.7
2,22,127,2,2,41,0,24.9
2,25,48,2,0,39,0,36.1
2,24,71,2,0,37,0,40.8
2,25,127,2,2,39,0,29.6
2,25,69,2,0,39,0,24.7
2,23,74,2,0,39,0,32.6
2,22,84,2,0,39,0,42.6
2,24,78,2,0,39,0,33.5
2,24,109,2,1,39,0,38.8
2,24,67,2,0,39,0,53.8
2,22,167,2,1,39,0,28.6
2,24,116,2,1,39,0,31.6
2,24,70,2,0,39,0,20.1
2,23,120,2,1,38,0,37.7
2,23,79,2,0,38,0,44.9
2,23,123,2,2,38,0,41.4
2,24,93,2,1,38,0,28.7
2,22,78,2,0,37,0,31.4
2,22,24,2,0,37,0,36.2
2,22,95,2,1,37,0,39
2,22,85,2,0,36,0,37.3
2,22,37,2,0,36,0,12.9
2,21,76,2,0,35,0,40.5
2,22,34,2,0,36,0,46.2
2,23,185,1,1,29,1,29.4
2,25,182,1,4,31,1,31.7
2,27,553,1,5,45,1,18.3
2,27,181,1,1,33,1,22.7
2,25,200,1,3,31,1,23.2
2,25,251,1,1,33,1,16.1
2,27,533,1,6,45,1,19.4
2,22,285,1,3,31,1,9
2,23,509,1,6,42,1,21.1
2,25,500,1,3,42,1,17.9
2,22,299,1,1,34,0,30.9
2,22,339,1,1,33,0,26.6
2,24,294,1,5,33,0,23.3
2,23,278,1,1,33,0,27.9
2,23,284,1,1,33,0,19.9
2,24,268,1,1,33,0,29.9
2,22,322,1,2,33,0,20.7
2,32,15,1,0,33,0,16.7
2,24,62,1,0,26,0,30.7
2,24,268,1,1,33,0,14.3
2,29,109,1,1,32,0,34.1
2,24,268,1,4,32,0,26.3
2,23,269,1,6,32,0,23
2,22,282,1,1,32,0,23.4
2,22,279,1,2,31,0,19.5
2,23,268,1,1,31,0,28.3
2,24,239,1,2,31,0,25.7
2,24,179,1,3,29,0,31
2,25,76,1,0,28,0,37.4
2,26,45,1,0,28,0,24.9
2,23,147,1,1,27,0,31.2
2,24,110,1,1,27,0,30.1
2,18,271,1,1,27,0,18.6
2,23,123,1,2,27,0,30.9
2,22,148,1,4,27,0,29.8
2,24,96,1,1,27,0,31.2
2,23,119,1,2,27,0,34.7
2,22,143,1,2,27,0,28.7
2,22,135,1,2,27,0,27.9
2,22,151,1,3,27,0,29.9
2,24,94,1,1,27,0,30.4
2,24,80,1,0,26,0,31.2
2,22,117,1,1,26,0,32.9
2,24,41,1,0,26,0,27.4
2,24,46,1,0,26,0,34.7
2,22,106,1,1,26,0,34.2
2,22,104,1,1,25,0,32
2,22,105,1,1,25,0,37.4
2,22,124,1,2,26,0,29.9
2,22,102,1,1,26,0,31.2
2,23,42,1,0,25,0,26.6
2,21,105,1,1,25,0,30.2
2,23,45,1,0,25,0,26.8
2,22,72,1,0,25,0,31.9
2,22,71,1,0,24,0,34.4
2,22,73,1,0,24,0,30.6
2,23,42,1,0,24,0,24.5
2,23,43,1,0,24,0,29.9
2,23,43,1,0,24,0,29.7
2,22,42,1,0,24,0,28.4
1,25,155,3,2,58,1,20.1
1,24,245,3,4,55,1,40.8
1,23,255,3,1,56,1,31.6
1,26,315,3,2,68,1,16.3
1,23,114,3,1,58,1,37.4
1,24,356,3,3,71,1,11.4
1,26,305,3,1,73,1,8.7
1,27,139,3,2,75,1,19.2
1,25,291,3,1,72,1,30.9
1,23,65,3,0,51,1,26.2
1,25,383,3,2,65,1,9.7
1,25,259,3,5,60,1,1
1,25,239,3,1,59,1,0.5
1,29,344,3,6,67,1,34
1,26,231,3,1,72,1,25.2
1,24,149,3,2,54,1,33.6
1,24,359,3,4,59,1,25.1
1,25,142,3,1,57,0,18
1,24,144,3,2,57,0,27.8
1,24,23,3,0,54,0,49
1,25,256,3,1,56,0,30
1,25,84,3,0,56,0,39.6
1,24,244,3,3,56,0,34.9
1,23,70,3,0,53,0,13.8
1,24,124,3,2,56,0,40.3
1,24,258,3,2,56,0,30.4
1,25,93,3,1,56,0,32.7
1,23,249,3,2,56,0,16.9
1,25,68,3,0,56,0,28
1,26,130,3,2,56,0,40.1
1,25,208,3,1,56,0,38.5
1,23,102,3,1,56,0,36.9
1,24,229,3,1,56,0,34.4
1,24,135,3,2,55,0,33.4
1,25,232,3,1,55,0,30.8
1,24,70,3,0,55,0,46.1
1,24,43,3,0,55,0,28.1
1,24,54,3,0,55,0,45.3
1,27,14,3,0,54,0,29.1
1,23,100,3,2,53,0,33.4
1,24,21,3,0,51,0,29.4
1,24,33,3,0,51,0,27.4
1,24,105,3,1,51,0,30.9
1,27,41,3,0,50,0,46
1,24,108,3,1,50,0,31.8
1,25,42,3,0,50,0,27
1,24,53,3,0,50,0,28.3
1,23,78,3,0,50,0,28.9
1,24,90,3,1,50,0,39.5
1,24,24,3,0,49,0,29.7
1,25,80,3,0,49,0,24.5
1,24,74,3,0,49,0,45.7
1,24,85,3,0,49,0,36.4
1,24,77,3,0,49,0,33.6
1,23,77,3,0,49,0,39.3
1,25,36,3,0,48,0,48.4
1,23,81,3,0,48,0,46.5
1,23,43,3,0,48,0,27.2
1,24,44,3,0,48,0,30.1
1,24,42,3,0,48,0,28.5
1,23,37,3,0,47,0,28.3
1,25,69,3,0,48,0,37.6
1,23,67,3,0,48,0,31.2
1,23,41,3,0,47,0,26
1,23,49,3,0,47,0,37.9
1,21,86,3,0,47,0,27.4
